token_address,chain,token_name,contract_name,verified,owner,creator,is_hidden_owner,is_proxy,is_sellable,is_hardcoded_owner,has_source_code,has_abi,total_snippets,mint_function_detected_number,ownership_renounced_number,is_honeypot_suspected_number,delayed_trading_detected_number,transfer_cooldown_detected_number,high_tax_detected_number,blacklist_or_whitelist_detected_number,trading_disabled_possible_number,other_suspicious_detected_number
0x0Bd9480e77D83bab78eea7E3C2ca170d0e7Fb567,bsc,World of Trump,ERC20Token,True,0x49267044d94fd80e69c87a7bda918cc91d393855,0x49267044d94fd80e69c87a7bda918cc91d393855,False,False,True,False,True,True,9,1,2,0,0,0,0,6,0,0
0x00c28144c95fBFA610415337dF0579FeB4860301,bsc,Baby Cat Inu,BABYCAT,True,0xcf97ca5b60fd1ab9e6128a90ca6ab9173230eb9e,0xcf97ca5b60fd1ab9e6128a90ca6ab9173230eb9e,False,False,True,False,True,True,53,5,2,3,1,0,39,2,1,0
0x0C62005d761dF505939AA990664eB2Edba83B38B,bsc,ELON MOON,,False,0xffb20bc7dffa3f6e2ded9f06c7a1dba6e3981f85,0xffb20bc7dffa3f6e2ded9f06c7a1dba6e3981f85,False,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x0CDDD25dbD2B12D67F7f7f3f43CaD80Ae22C48c2,bsc,PAAL AI,SpecialToken,True,0x5dce65e2f41488738e2a478ec97380f27a427b3d,0x5dce65e2f41488738e2a478ec97380f27a427b3d,False,False,False,False,True,True,0,0,0,0,0,0,0,0,0,0
0x0ce347f8d02285Ce31A4aD6648e80a5bf32B0AF4,bsc,MooningBNBcake,MooningBNBcake,True,0x058df9b962831b18cf81cb110dbc1681de81b5ac,0x058df9b962831b18cf81cb110dbc1681de81b5ac,False,False,True,False,True,True,53,5,2,3,1,0,39,2,1,0
0x0d6bf098b17f2fC919703Ab8B2B57771B18889A7,bsc,ShadowPurple,,False,0x903ed35a5f1851ba9549f86f90a055ca4b3015fc,0x903ed35a5f1851ba9549f86f90a055ca4b3015fc,False,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x0d71c3Ee529F62aAf754daAb9fBE8d78EdE53691,bsc,One Fifty Nation,,False,0x5f39742241d6a8f368343ed66cf3e620e187a5cc,0x5f39742241d6a8f368343ed66cf3e620e187a5cc,False,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x0d54891b9339697B7F02312C931d965203e2aF28,bsc,Cloud,ERC20Token,True,0x84d04d9fe0fb5b5242918c0f8fb04c530ffd2076,0x84d04d9fe0fb5b5242918c0f8fb04c530ffd2076,False,False,True,False,True,True,9,1,2,0,0,0,0,6,0,0
0x0D7486d68e29eb5589c79e7392C16CDF04854663,bsc,GUISE,GUISE,True,0xa03a2080c4ecc5fbdd6df9c6665e39cc7287ff65,0xa03a2080c4ecc5fbdd6df9c6665e39cc7287ff65,False,False,True,False,True,True,7,2,1,1,0,0,3,0,0,0
0x0Da34BF7AD39B298475198017e5543f07a8190BF,bsc,Chanser,,False,0x9dea672f6c7abf66dfb24f00ae3141bd1f92f127,0x9dea672f6c7abf66dfb24f00ae3141bd1f92f127,False,,False,,False,False,0,0,0,0,0,0,0,0,0,0
0x0DA7B7F5b30bd7d2d14d6d042802c6E03DBE8086,bsc,THETA FINANCE,THETAFINANCE,True,0xf85a60e85b51036d362b2a22e1e0918ef79ba608,0xf85a60e85b51036d362b2a22e1e0918ef79ba608,False,False,True,False,True,True,5,3,2,0,0,0,0,0,0,0
0x0dB6E4C01fDBDC93C8E33292578d82f65a10E1B2,bsc,METAG,,False,0xc71b11482210b8c81ce5ac7f6001bd2aaf3c1e07,0xc71b11482210b8c81ce5ac7f6001bd2aaf3c1e07,False,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x0dd13DA8afd720885D7e672088B040C9A47aB06a,bsc,Unicorn,Unicorn,True,0x5637fa87f379920316779d42d00a460c5c1079a2,0x5637fa87f379920316779d42d00a460c5c1079a2,False,False,True,False,True,True,53,5,2,3,1,0,39,2,1,0
0x0De75b997A1d2e2c4C9BD36182984b6F13cc08a9,bsc,Avalanche Unity,,False,0x1fb0ec29127f7a9dd42b2bc9bca0c0d4c05553ea,0x1fb0ec29127f7a9dd42b2bc9bca0c0d4c05553ea,False,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x0e0B50419C81cc475A2f3fcDDCE6BD08125999DB,bsc,ELON BUY TWITTER,ELONBUYTWITTER,True,0xa686d3af5aaaa3e35ba65b5fb3fadf9fdcd844b4,0xa686d3af5aaaa3e35ba65b5fb3fadf9fdcd844b4,False,False,True,False,True,True,5,3,2,0,0,0,0,0,0,0
0x00e6D2A995c7e374b360fBfd82e3f0D1cD8Ff621,bsc,Pump,CoinToken,True,0x3d26edab14eef7eac2ae8f5dfeffbdf1527e7316,0x3d26edab14eef7eac2ae8f5dfeffbdf1527e7316,False,False,True,False,True,True,5,1,0,0,0,0,0,4,0,0
0x0e9b196749949cd85AC922238655cC2071801916,bsc,Cindicator,,False,0x438fa4fb6fc45056e3261d97d29f0073f4296d33,0x438fa4fb6fc45056e3261d97d29f0073f4296d33,False,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x0e85ADe9D6276C63D3fe76e5DC3446f15807da44,bsc,Baby Vegas,,False,,0x38d6ade31f523b7533f4221b7eb7b864aa39d521,True,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x0e2114955023B736fa97D9E2FCDe2836d10b7A5C,bsc,Bridge$,Bridges,True,0x7cede8b158afc9877f3420aae91e918b18cab7ec,0x9ced113ac8408e5e4d74dd43c2ef8ce94d0eda49,False,False,True,True,True,True,0,0,0,0,0,0,0,0,0,0
0x0e32273AcD551d96092C3b4cd65A174eCAA884e7,bsc,Titan Starvill,,False,0x624be9bc11e8fada9649378922195bc459ce405a,0x624be9bc11e8fada9649378922195bc459ce405a,False,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x0E1D50B81C18aB3Ba24D20B7f53cC65939ea43bC,bsc,Setter Protocol,,False,0x133df2aa5a48d07da2cdeec8fd329c6eeff87835,0x133df2aa5a48d07da2cdeec8fd329c6eeff87835,False,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x0E2c0032Bbac753354D7ef32087f80C8c790F9A9,bsc,[name() not implemented],ERC20Token,True,0x54fc791bd609e82568342472c9310c70162dea03,0x54fc791bd609e82568342472c9310c70162dea03,False,False,True,False,True,True,9,1,2,0,0,0,0,6,0,0
0x0E9cf923a7ef78A1eb757001aB654537e6187f82,bsc,SpaceCurrency,,False,0x76fb568736e601334fa93ff3dc937e3e5fe3b189,0x76fb568736e601334fa93ff3dc937e3e5fe3b189,False,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x0Ecef127D502b14f0fBDd7Bd03e976aDd203a061,bsc,SAITAPRO BNB,SpecialToken,True,0x10258c8fc4861f42fecf760efd2f2ad7291841e3,0x10258c8fc4861f42fecf760efd2f2ad7291841e3,False,False,True,False,True,True,0,0,0,0,0,0,0,0,0,0
0x0eF566c472cd309d3424FaB0bcEc568b9B805841,bsc,Rojus Token Finance,ST_Basic_Token,True,0xdd772562e58a9b8cf51651dead61290b44be157d,0xdd772562e58a9b8cf51651dead61290b44be157d,False,False,True,False,True,True,2,1,1,0,0,0,0,0,0,0
0x0f79Da55A9b2DE57B74C5b3Dcf0dAe9153CeAfAa,bsc,MoonShots,,False,0x351f76e5ac5d6005eaa7dc3c3b6f3805656e5d13,0x351f76e5ac5d6005eaa7dc3c3b6f3805656e5d13,False,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x0f809A01f20010515340d47f471eDB8ED2B2B0f0,bsc,LEGO FINANCE,SpecialToken,True,0xacc55e3405483ec0c34be6500cb7fca791db050d,0xacc55e3405483ec0c34be6500cb7fca791db050d,False,False,True,False,True,True,0,0,0,0,0,0,0,0,0,0
0x0f998b8ACE8A7110e5E91FA2b47D11885AB27916,bsc,x42 Protocol,,False,0x7c9ffbb8a97c1223c9674ce994bd8d20531eda33,0x7c9ffbb8a97c1223c9674ce994bd8d20531eda33,False,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x0F7c44F13C525D57c4C57a0c9B0846798dE04d0a,bsc,FKA COIN,Token,True,0x37e21e18713710fa4b6dfebcb7ab1238c7d3bba8,0x37e21e18713710fa4b6dfebcb7ab1238c7d3bba8,False,False,True,False,True,True,3,1,1,0,0,0,0,1,0,0
0x0F1269f9a43902431E2522b13Ec6E3adbBd2E9a5,bsc,Demifold,,False,0xee9f436b4694f66b7090c954f0fd09042564a3ca,0xee9f436b4694f66b7090c954f0fd09042564a3ca,False,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x0Fbb3Bb17BD250f7bb51e30Ff2f6Aa0A840FE361,bsc,ShadowPurple,,False,0xd05fab62fc3d9874dee943a10ebdddc6e5c664ba,0xd05fab62fc3d9874dee943a10ebdddc6e5c664ba,False,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x0fBd271b1619B67bCC7cb724610D9a0165ec0079,eth,Lambo X,LAMBOX,True,,0xaa4dca212f2abd55cb220d5d33aae0b692d7449e,True,False,True,False,True,True,3,1,1,0,0,0,1,0,0,0
0x0Fd2c30422e7245d2a3e02e4eCdFe1F781411d83,bsc,Pepe Unchained,tokenNew,True,0xdb130d817ecaf426a0a4c2ffcf97db5d5437a703,0xdb130d817ecaf426a0a4c2ffcf97db5d5437a703,False,False,True,False,True,True,8,1,1,0,0,0,0,6,0,0
0x0FF6Df41d8B19844b05314292218480D64eD439f,bsc,Opal DeFi,,False,0xa45a0224b59623937d5c873e6db933512ba39e6e,0xa45a0224b59623937d5c873e6db933512ba39e6e,False,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x1a1D7d81e43dbFcC90fE0bd8f3CF11a37BabCdC3,bsc,CelestialGlide Token,,False,0x69ca0292c6270b0749f2d2260c8a82c1417d0af7,0x69ca0292c6270b0749f2d2260c8a82c1417d0af7,False,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x1a6B0d44d934375B4D3479A9b7E8B5D746a0912e,bsc,Viacoin,,False,0xfa97012625e8c6a774bbc9ecbfe53f6cc892c083,0xfa97012625e8c6a774bbc9ecbfe53f6cc892c083,False,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x1A0d2B2593f14eaA7e61EA420b5e2fEfa656765f,bsc,PUMPITUP,PUMPITUP,True,0x42932c1a558cbc11577e146dc9b757113b3eef1d,0x42932c1a558cbc11577e146dc9b757113b3eef1d,False,False,True,False,True,True,51,5,2,3,1,0,39,0,1,0
0x1A3b09Fb307E003e7861ffed9cc62DbE22146E21,bsc,MoonBus,MoonBus,True,,0xcfb60168e461ea625aef32f7a9b602cac4290845,True,False,True,False,True,True,23,0,1,0,0,0,22,0,0,0
0x1A3802ee0ec542f20405DB2748316D29E025D5a8,bsc,Legalize,Legalize,True,0x5637fa87f379920316779d42d00a460c5c1079a2,0x5637fa87f379920316779d42d00a460c5c1079a2,False,False,True,False,True,True,53,5,2,3,1,0,39,2,1,0
0x1A59872bEfEbe1c70c3467e92b11a81B3f9b25CC,bsc,Forsokallt,Token,True,0x85f3c089353870c752b48ea1d4371acc559adabd,0x85f3c089353870c752b48ea1d4371acc559adabd,False,False,True,False,True,True,16,1,1,0,0,0,13,1,0,0
0x1aaf8734a338a41c70C568F43A1eBBf211a4901e,bsc,NOCTANFT,SpecialToken,True,0x8ff32c7f16381b6a26ed2879208564742475b120,0x8ff32c7f16381b6a26ed2879208564742475b120,False,False,True,False,True,True,0,0,0,0,0,0,0,0,0,0
0x1ABcFAcFe004837DBED945503d6B34Cf63A32224,bsc,Prometeus,,False,,0xfe85e0ea970957ee9d318da297833139634085d5,True,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x1ac5402F43110b93Aee9F32E6BC1481F43e0E91e,bsc,Shit Coin,ShitCoin,True,0xb46cb3a24e693dfec7b36637966452e018244586,0xb46cb3a24e693dfec7b36637966452e018244586,False,False,True,False,True,True,63,5,2,3,0,0,53,0,0,0
0x1AC89e03a3c5eFbb7953FE27d37760747E210Ab1,bsc,Private Yacht Token,,False,0x69ca0292c6270b0749f2d2260c8a82c1417d0af7,0x69ca0292c6270b0749f2d2260c8a82c1417d0af7,False,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x1AcA0F9F2c809F13725D576a730760A1eF43BD47,bsc,DOGEVERISE,DOGEVERISE,True,,0xccd35754d9d2221d4d894421555c2ff03d0bd76b,True,False,True,False,True,True,49,5,2,3,0,0,39,0,0,0
0x1AdA8bB610C59Aae25d8DD8f354282F5693CefB1,bsc,Yooshiba Inu,YooshibaInu,True,0xe328ceaf94725de8201189a436158004ec996730,0x4135608eb2d981255f39bdae703feb50cbb9d587,False,False,True,False,True,True,0,0,0,0,0,0,0,0,0,0
0x1aDB92fc6FA5b2EF52aAec49F237aFf0cDd4CEFe,bsc,BongKis,BongKis,True,0x05251a2b8d5ab7af9eccb9592979cf8f5862ea34,0x05251a2b8d5ab7af9eccb9592979cf8f5862ea34,False,False,True,False,True,True,45,3,2,4,0,1,32,3,0,0
0x1Ae38D2964aD3222168218c30409Fe81a7Ee1d03,bsc,Dogelon Mars DeFi,,False,0x4fcd7d01f2c2a6023a861a1b1b0cc89e58fa1fa3,0x4fcd7d01f2c2a6023a861a1b1b0cc89e58fa1fa3,False,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x1Ae52E431099Fa4F9B7021A402713B63a17Cc7f2,bsc,Tesla cars,SpecialToken,True,0xe98f5f90e15c9175ebc0a52087cace0a8eec5969,0xe98f5f90e15c9175ebc0a52087cace0a8eec5969,False,False,True,False,True,True,0,0,0,0,0,0,0,0,0,0
0x1b000aBc16A40ABEe05EB5dC267beA3a5359c322,bsc,CarbonZero,CarbonZero,True,0x13ccbc9146f0cfdafdf283e853ad8e365c8d41be,0x13ccbc9146f0cfdafdf283e853ad8e365c8d41be,False,False,True,True,True,True,55,4,5,7,0,0,39,0,0,0
0x1b97f4b1ba923d1A98BC359f080180fbCf7615A4,bsc,BabyJDoge,BabyJDoge,True,0x058df9b962831b18cf81cb110dbc1681de81b5ac,0x058df9b962831b18cf81cb110dbc1681de81b5ac,False,False,True,False,True,True,53,5,2,3,1,0,39,2,1,0
0x1b1356c7176D3E88E4e90Ea63958ca0ee6749613,bsc,SAFE MARS,,False,0x067abf305fd424401e071535b2f1882c47543424,0x067abf305fd424401e071535b2f1882c47543424,False,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x1b6428734f8023b450a1475f5396821b0c2B41c9,bsc,KiteAI,ERC20Token,True,0x6e10bea7fb2641091cfe69c6e67207b71bcfe6eb,0x6e10bea7fb2641091cfe69c6e67207b71bcfe6eb,False,False,True,False,True,True,9,1,2,0,0,0,0,6,0,0
0x1bd675eF251Fd17B8a08ED9F84f684a5a8B18707,bsc,SRV COIN,Token,True,0x9c0adf848d5b3a98c2871811c3524087a3f2860a,0x9c0adf848d5b3a98c2871811c3524087a3f2860a,False,False,True,False,True,True,3,1,1,0,0,0,0,1,0,0
0x1BD8cA161F0b311162365248b39B38F85e238345,bsc,Bancc,BuybackBabyToken,True,,0xbb3930247cf8de61e258d854a63c881b1efdc19b,True,False,True,False,True,True,49,4,8,2,2,0,33,0,0,0
0x1Be40403066D8683DAc4B919A3dc0eCfE03f278E,bsc,NationSky,,False,0x537d5d501d67e6f7b3ecdebefa9ed4a2048ca765,0x537d5d501d67e6f7b3ecdebefa9ed4a2048ca765,False,,False,,False,False,0,0,0,0,0,0,0,0,0,0
0x1C2cB858F6a223C7eF0Cb9357b10f0fFDDf23294,bsc,Islander,,False,0xc08f65e92a86a7c51fab4707b1560efae1017ad5,0xc08f65e92a86a7c51fab4707b1560efae1017ad5,False,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x1C05cF052B0777CD888E24F09c51cB6712FAa4Ed,bsc,KMBV,,False,0xca217c291d257057eb35faa5e7748c9c93b2355c,0xca217c291d257057eb35faa5e7748c9c93b2355c,False,,False,,False,False,0,0,0,0,0,0,0,0,0,0
0x1C693e3cC40543516f09D063b2E6a5BF46aA8D21,bsc,REGENT COIN,,False,0x9f3998136b2f33bfa830118b35c2e5c0473ff8da,0x9f3998136b2f33bfa830118b35c2e5c0473ff8da,False,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x1C787fabff50A2EE0363a80e6c5f3f81E602d397,bsc,FoxPirate,FoxPirate,True,,0xc44496e7d13695b9d67fa998573fa74b3dbd560d,True,False,True,False,True,True,49,5,2,3,0,0,39,0,0,0
0x1Cb79D581eee370A0a06Dd597Fa580f36Bb17A1B,bsc,Baby Elvy Dao,,False,0x911e73f67f8cabdb3933a7651bac9b6d030695e3,0x911e73f67f8cabdb3933a7651bac9b6d030695e3,False,,False,,False,False,0,0,0,0,0,0,0,0,0,0
0x1d3e71877E7381BeEBbb9024D73136C8E5475e46,bsc,BabyDogeCoin,BabyDogeCoin,True,0x2852ceced8b31b2938ebebaecccbe3ca0abd01ee,0x2852ceced8b31b2938ebebaecccbe3ca0abd01ee,False,False,True,False,True,True,2,1,1,0,0,0,0,0,0,0
0x1d6E86E216a41e929f2220c7F10dE0F6d289518c,bsc,Amasince,,False,0x1e187fc9488614c3032b0719ff54e1bf1f8c7a9a,0x1e187fc9488614c3032b0719ff54e1bf1f8c7a9a,False,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x1d7B42Fb6b67C64cc07f5041914ed4C4D4D6E1Ce,bsc,Tycoon,,False,0x154ebdd5507de64e5ee5e3dd365ec999179bf4d2,0x154ebdd5507de64e5ee5e3dd365ec999179bf4d2,False,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x1d961A1E88BF2F3212b2054336a30C767e75E90C,bsc,DefiRewards,TokenBEP20,True,,0x83c69ae77e7cd0a4712dbba609805da8f818c082,True,False,True,False,True,True,1,0,1,0,0,0,0,0,0,0
0x1d4047a8c78Eb865Ea50c9F056cA4522969924E5,bsc,EZEDAO,,False,0x57a09a60d5cca2872c5a272ef4a3bd1b64977859,0x57a09a60d5cca2872c5a272ef4a3bd1b64977859,False,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x1D6E0DCFf382FB84BD76900Ce9038abF3b2F53E5,bsc,DAB,Token,True,0xf5d9b2bd30a0a6b6cdc1f4bc4685914ab3710c75,0xf5d9b2bd30a0a6b6cdc1f4bc4685914ab3710c75,False,False,True,False,True,True,3,1,1,0,0,0,0,1,0,0
0x1D454960FF6CCcFCc359eFa70Db6cA16A2daD3d6,bsc,Loom Network,,False,0xc18e35d07de7bd927e5137260a920073bc588d88,0xc18e35d07de7bd927e5137260a920073bc588d88,False,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x1de2C2d8166304B0E6Ca6a83c592570BE9796F05,bsc,SINOVATE,,False,0xa2ce35a5c66b5effe6c1f6bc30dfb6f1f9d71485,0xa2ce35a5c66b5effe6c1f6bc30dfb6f1f9d71485,False,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x1DED46F6EE96328352058064C3B086F07ef32C54,bsc,ApesStrong,,False,,0x6b79a54b6d30e71eab11c1a05f0d5687b384c7ac,True,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x01dF71e9e09573bB8DdCB8dDd8cec74ed31A3deB,bsc,Go Invest Token,CoinToken,True,,0xa85cb5ecbf76760516b2a59512ed6d62e32107d6,True,False,True,False,True,True,51,6,2,3,0,0,40,0,0,0
0x01Df5ea271D66D00EFb3Af9dAF2e34B7d453CB7d,bsc,cyberdoge,ERC20Token,True,0xc7f906d137f2ff14df5ed29ca6c07851efe59ead,0xc7f906d137f2ff14df5ed29ca6c07851efe59ead,False,False,True,False,True,True,9,1,2,0,0,0,0,6,0,0
0x1e1CCE765268E890CA70761ec13BDC002abDa4Bb,bsc,Xrp Classic,,False,0xabdbbec3edcaa48a1d7afc162b8b3cf1b4dcfd7a,0xabdbbec3edcaa48a1d7afc162b8b3cf1b4dcfd7a,False,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x1e7a63c4c331D11aEFAF18507Fb073F4248B442F,bsc,Babe Pepe,tokenNew,True,0x121397cfc4b5510afc5e9b7c73080bdc38aedd20,0x121397cfc4b5510afc5e9b7c73080bdc38aedd20,False,False,True,False,True,True,8,1,1,0,0,0,0,6,0,0
0x1e73B4a35D1b2F56943EcE4451b2E931A5240365,bsc,Cash Moon,,False,,0x0f982b6ed83e03557b05a3dd49f9a3678164be5f,True,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x1E14a8Fd06F0A700db52FaEeB9935821f3c52e81,bsc,Cadena,,False,,0xbb28e160e402ca57efa776fe280691d40fe5fc05,True,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x1E499ffe9B76D028ee132205518bF322A7a6b5d8,bsc,Egretia,,False,0xf430647dbd85e30315109d48c07690aacfb7a254,0xf430647dbd85e30315109d48c07690aacfb7a254,False,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x1f458a516cF059bDf43Eac16AcD2c48eFE55D05f,bsc,FIX LAB,,False,0xc18e35d07de7bd927e5137260a920073bc588d88,0xc18e35d07de7bd927e5137260a920073bc588d88,False,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x1F8e954C79E5eA41715d2b60cD2018ef7ea5fA16,bsc,DORA FINANCE,SpecialToken,True,0xe9c4d92d0ef366e187a0f7c0b2c387f47da696cc,0xe9c4d92d0ef366e187a0f7c0b2c387f47da696cc,False,False,True,False,True,True,0,0,0,0,0,0,0,0,0,0
0x1F71E02F0695D11189fB8b264ac4E4171CE16425,bsc,LuckyVault,LuckyVault,True,0x05251a2b8d5ab7af9eccb9592979cf8f5862ea34,0x05251a2b8d5ab7af9eccb9592979cf8f5862ea34,False,False,True,False,True,True,42,3,2,4,0,1,32,0,0,0
0x1F639276973F8Aa3BCFaB192d400d861eaf82529,bsc,Scar,Scar,True,0x87d36166688176ce087c3c76d1f81d81ae34a65f,0x87d36166688176ce087c3c76d1f81d81ae34a65f,False,False,True,False,True,True,49,5,2,3,0,0,39,0,0,0
0x1fb0Aa1790b303E1F00E3056cFCb9B2A5146c8cB,bsc,CACTUS,CACTUS,True,0xb06f03d595df5191791c53ec8310cbbf38fd1533,0xb06f03d595df5191791c53ec8310cbbf38fd1533,False,False,True,False,True,True,53,5,2,3,1,0,39,2,1,0
0x1FD2644d37b0BadE6094ce80EE2957Ceeb2f325b,bsc,EGGYBSC,SpecialToken,True,0xa56c6febb5f9f08c07a45ee3d44a93747c7a702f,0xa56c6febb5f9f08c07a45ee3d44a93747c7a702f,False,False,True,False,True,True,0,0,0,0,0,0,0,0,0,0
0x2a294acC7a6EaE21b72F3b66C70125F921747B53,bsc,ROTTWEILER,ROTTWEILER,True,,0xd0e321a2ba5268c4785a8544fce559eab7db0477,True,False,True,False,True,True,49,5,2,3,0,0,39,0,0,0
0x2A0B00320E125b1037DDf772C735ff636bE06CaF,bsc,COSMO TOKEN,SpecialToken,True,0x5eb63e353e262a05777672680967c6121edf4979,0x5eb63e353e262a05777672680967c6121edf4979,False,False,True,False,True,True,0,0,0,0,0,0,0,0,0,0
0x002A029d13f423227A24641CD5Fec448A52FEa32,bsc,Yarakat,Token,True,0xb0aefc5c435b91ece2be96d119eb1e314b6b390e,0xb0aefc5c435b91ece2be96d119eb1e314b6b390e,False,False,True,False,True,True,16,1,1,0,0,0,13,1,0,0
0x2A9cDA03c398Ef597534fCD5d3eF76Aa8D24659e,bsc,DigitalRise,,False,0x5f7c6c749ad64ee9bbafde0ab26b06a7ce2775a7,0x5f7c6c749ad64ee9bbafde0ab26b06a7ce2775a7,False,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x2A491609a71b10fb37E052d0946aF18434Ea5bd1,bsc,Pride,,False,0x3a99e866af1240070700eb87d63b4139912922b5,0x3a99e866af1240070700eb87d63b4139912922b5,False,,True,,False,False,0,0,0,0,0,0,0,0,0,0
0x2A5472268D5b176F5EF28D7a53C8258BBCE26313,bsc,PEPECASH,PEPECASH,True,,0xe64a3a27591f15e2bb1225b576e6bac6192b6ffc,True,False,True,False,True,True,55,5,2,3,0,0,45,0,0,0
0x2AB6Ed0eEf712006082c9cF583a6d12676d8f4cB,bsc,BabyHarmony,BabyHarmony,True,0x2586b35e27639b8e6011509fefe5d3ca03be181a,0x7d428fa52bc3835bdfb7118c283925480c51dfee,False,False,True,True,True,True,41,4,16,0,0,2,17,0,2,0
0x2AbBc691cE7E123041847da9771384A5fa6eC310,bsc,K Stone Community,,False,0x624be9bc11e8fada9649378922195bc459ce405a,0x624be9bc11e8fada9649378922195bc459ce405a,False,,True,,False,False,0,0,0,0,0,0,0,0,0,0
